locationID,continent,country,stateProvince,county,countryCode,isCustomRegion,verbatimCountry,verbatimLocationID,verbatimISO3,countryCode.1
GEO_17698898B71599149457148,Asia,Afghanistan,Farah,Pusht Rod,AF,No,Afghanistan,{17698898B71599149457148},AFG,AF
GEO_17698898B70788174101538,Asia,Afghanistan,Farah,Qala Ka,AF,No,Afghanistan,{17698898B70788174101538},AFG,AF
GEO_17698898B4337459540017,Asia,Afghanistan,Farah,Shib Koh,AF,No,Afghanistan,{17698898B4337459540017},AFG,AF
GEO_17698898B15834343688253,Asia,Afghanistan,Faryab,Almar,AF,No,Afghanistan,{17698898B15834343688253},AFG,AF
GEO_17698898B72434564939727,Asia,Afghanistan,Faryab,Andkhoy,AF,No,Afghanistan,{17698898B72434564939727},AFG,AF
GEO_17698898B99148698827275,Asia,Afghanistan,Faryab,Bilchiragh,AF,No,Afghanistan,{17698898B99148698827275},AFG,AF
GEO_17698898B78823885330812,Asia,Afghanistan,Faryab,Dawlatabad,AF,No,Afghanistan,{17698898B78823885330812},AFG,AF
GEO_17698898B36180835815829,Asia,Afghanistan,Faryab,Gurziwan,AF,No,Afghanistan,{17698898B36180835815829},AFG,AF
GEO_17698898B58243827416032,Asia,Afghanistan,Faryab,Khani Chahar Bagh,AF,No,Afghanistan,{17698898B58243827416032},AFG,AF
GEO_17698898B86175881575923,Asia,Afghanistan,Faryab,Khwaja Sabz Posh,AF,No,Afghanistan,{17698898B86175881575923},AFG,AF
GEO_17698898B67216790829009,Asia,Afghanistan,Faryab,Kohistan,AF,No,Afghanistan,{17698898B67216790829009},AFG,AF
GEO_17698898B62547569841807,Asia,Afghanistan,Faryab,Maymana,AF,No,Afghanistan,{17698898B62547569841807},AFG,AF
GEO_17698898B54717162176823,Asia,Afghanistan,Faryab,Pashtun Kot,AF,No,Afghanistan,{17698898B54717162176823},AFG,AF
GEO_17698898B29599265384553,Asia,Afghanistan,Faryab,Qaramqol,AF,No,Afghanistan,{17698898B29599265384553},AFG,AF
GEO_17698898B12348234721190,Asia,Afghanistan,Faryab,Qaysar,AF,No,Afghanistan,{17698898B12348234721190},AFG,AF
GEO_17698898B36636403911710,Asia,Afghanistan,Faryab,Qurghan,AF,No,Afghanistan,{17698898B36636403911710},AFG,AF
GEO_17698898B36085950129723,Asia,Afghanistan,Faryab,Shirin Tagab,AF,No,Afghanistan,{17698898B36085950129723},AFG,AF
GEO_17698898B68993560499599,Asia,Afghanistan,Ghanzi,Ab Band,AF,No,Afghanistan,{17698898B68993560499599},AFG,AF
GEO_17698898B56570025970807,Asia,Afghanistan,Ghanzi,Ajristan,AF,No,Afghanistan,{17698898B56570025970807},AFG,AF
GEO_17698898B15836335276490,Asia,Afghanistan,Ghanzi,Andar,AF,No,Afghanistan,{17698898B15836335276490},AFG,AF
GEO_17698898B48639262347956,Asia,Afghanistan,Ghanzi,Bahrami Shahid (Jaghatu),AF,No,Afghanistan,{17698898B48639262347956},AFG,AF
GEO_17698898B43522428587975,Asia,Afghanistan,Ghanzi,Dih Yak,AF,No,Afghanistan,{17698898B43522428587975},AFG,AF
GEO_17698898B95721518303168,Asia,Afghanistan,Ghanzi,Gelan,AF,No,Afghanistan,{17698898B95721518303168},AFG,AF
GEO_17698898B66989319468531,Asia,Afghanistan,Ghanzi,Ghazni,AF,No,Afghanistan,{17698898B66989319468531},AFG,AF
GEO_17698898B34806360196917,Asia,Afghanistan,Ghanzi,Giro,AF,No,Afghanistan,{17698898B34806360196917},AFG,AF
GEO_17698898B41383596061136,Asia,Afghanistan,Ghanzi,Jaghuri,AF,No,Afghanistan,{17698898B41383596061136},AFG,AF
GEO_17698898B91768416079756,Asia,Afghanistan,Ghanzi,Khwaja Umari,AF,No,Afghanistan,{17698898B91768416079756},AFG,AF
GEO_17698898B54445118426490,Asia,Afghanistan,Ghanzi,Malistan,AF,No,Afghanistan,{17698898B54445118426490},AFG,AF
GEO_17698898B49767340950773,Asia,Afghanistan,Ghanzi,Muqur,AF,No,Afghanistan,{17698898B49767340950773},AFG,AF
GEO_17698898B69450200493830,Asia,Afghanistan,Ghanzi,Naw Bahar,AF,No,Afghanistan,{17698898B69450200493830},AFG,AF
GEO_17698898B13684385115275,Asia,Afghanistan,Ghanzi,Nawa,AF,No,Afghanistan,{17698898B13684385115275},AFG,AF
GEO_17698898B93105470278005,Asia,Afghanistan,Ghanzi,Nawur,AF,No,Afghanistan,{17698898B93105470278005},AFG,AF
GEO_17698898B40546749525056,Asia,Afghanistan,Ghanzi,Qarabagh,AF,No,Afghanistan,{17698898B40546749525056},AFG,AF
GEO_17698898B58745317907141,Asia,Afghanistan,Ghanzi,Rashidan,AF,No,Afghanistan,{17698898B58745317907141},AFG,AF
GEO_17698898B94947419719141,Asia,Afghanistan,Ghanzi,Waghaz,AF,No,Afghanistan,{17698898B94947419719141},AFG,AF
GEO_17698898B1377495574710,Asia,Afghanistan,Ghanzi,Wali Muhammadi Shahid,AF,No,Afghanistan,{17698898B1377495574710},AFG,AF
GEO_17698898B21749307466841,Asia,Afghanistan,Ghanzi,Zana Khan,AF,No,Afghanistan,{17698898B21749307466841},AFG,AF
GEO_17698898B78061514041898,Asia,Afghanistan,Ghor,Chaghcharan,AF,No,Afghanistan,{17698898B78061514041898},AFG,AF
GEO_17698898B8940895568860,Asia,Afghanistan,Ghor,Charsada,AF,No,Afghanistan,{17698898B8940895568860},AFG,AF
GEO_17698898B51753935446001,Asia,Afghanistan,Ghor,Dawlat Yar,AF,No,Afghanistan,{17698898B51753935446001},AFG,AF
GEO_17698898B44512241751427,Asia,Afghanistan,Ghor,Du Layna,AF,No,Afghanistan,{17698898B44512241751427},AFG,AF
GEO_17698898B32541112128206,Asia,Afghanistan,Ghor,Lal Wa Sarjangal,AF,No,Afghanistan,{17698898B32541112128206},AFG,AF
GEO_17698898B90993953751325,Asia,Afghanistan,Ghor,Pasaband,AF,No,Afghanistan,{17698898B90993953751325},AFG,AF
GEO_17698898B17817856005515,Asia,Afghanistan,Ghor,Saghar,AF,No,Afghanistan,{17698898B17817856005515},AFG,AF
GEO_17698898B24017508247144,Asia,Afghanistan,Ghor,Shahrak,AF,No,Afghanistan,{17698898B24017508247144},AFG,AF
GEO_17698898B99964188527696,Asia,Afghanistan,Ghor,Taywara,AF,No,Afghanistan,{17698898B99964188527696},AFG,AF
GEO_17698898B19883224301342,Asia,Afghanistan,Ghor,Tulak,AF,No,Afghanistan,{17698898B19883224301342},AFG,AF
GEO_17698898B34489246879191,Asia,Afghanistan,Helmand,Baghran,AF,No,Afghanistan,{17698898B34489246879191},AFG,AF
GEO_17698898B25309519003719,Asia,Afghanistan,Helmand,Dishu,AF,No,Afghanistan,{17698898B25309519003719},AFG,AF
GEO_17698898B34482796057231,Asia,Afghanistan,Helmand,Garmser,AF,No,Afghanistan,{17698898B34482796057231},AFG,AF
GEO_17698898B29414773205721,Asia,Afghanistan,Helmand,Kajaki,AF,No,Afghanistan,{17698898B29414773205721},AFG,AF
GEO_17698898B167183806480,Asia,Afghanistan,Helmand,Lashkar Gah,AF,No,Afghanistan,{17698898B167183806480},AFG,AF
GEO_17698898B14674073600616,Asia,Afghanistan,Helmand,Musa Qala,AF,No,Afghanistan,{17698898B14674073600616},AFG,AF
GEO_17698898B93501902948280,Asia,Afghanistan,Helmand,Nad Ali,AF,No,Afghanistan,{17698898B93501902948280},AFG,AF
GEO_17698898B22352554505248,Asia,Afghanistan,Helmand,Nahri Sarraj,AF,No,Afghanistan,{17698898B22352554505248},AFG,AF
GEO_17698898B96274707297205,Asia,Afghanistan,Helmand,Naw Zad,AF,No,Afghanistan,{17698898B96274707297205},AFG,AF
GEO_17698898B23236612264479,Asia,Afghanistan,Helmand,Nawa-I- Barak Zayi,AF,No,Afghanistan,{17698898B23236612264479},AFG,AF
GEO_17698898B2508287101636,Asia,Afghanistan,Helmand,Reg(Khanshin),AF,No,Afghanistan,{17698898B2508287101636},AFG,AF
GEO_17698898B63216716382211,Asia,Afghanistan,Helmand,Sangin,AF,No,Afghanistan,{17698898B63216716382211},AFG,AF
GEO_17698898B86762050859643,Asia,Afghanistan,Helmand,Washer,AF,No,Afghanistan,{17698898B86762050859643},AFG,AF
GEO_17698898B23166050371692,Asia,Afghanistan,Herat,Adraskan,AF,No,Afghanistan,{17698898B23166050371692},AFG,AF
GEO_17698898B84127122841675,Asia,Afghanistan,Herat,Chishti Sharif,AF,No,Afghanistan,{17698898B84127122841675},AFG,AF
GEO_17698898B70680099642368,Asia,Afghanistan,Herat,Farsi,AF,No,Afghanistan,{17698898B70680099642368},AFG,AF
GEO_17698898B30811011988841,Asia,Afghanistan,Herat,Ghoryan,AF,No,Afghanistan,{17698898B30811011988841},AFG,AF
GEO_17698898B98443198567384,Asia,Afghanistan,Herat,Gulran,AF,No,Afghanistan,{17698898B98443198567384},AFG,AF
GEO_17698898B41376487693068,Asia,Afghanistan,Herat,Guzara,AF,No,Afghanistan,{17698898B41376487693068},AFG,AF
GEO_17698898B52348915786714,Asia,Afghanistan,Herat,Hirat,AF,No,Afghanistan,{17698898B52348915786714},AFG,AF
GEO_17698898B10543334848024,Asia,Afghanistan,Herat,Injil,AF,No,Afghanistan,{17698898B10543334848024},AFG,AF
GEO_17698898B76505255120202,Asia,Afghanistan,Herat,Karukh,AF,No,Afghanistan,{17698898B76505255120202},AFG,AF
GEO_17698898B88962028797570,Asia,Afghanistan,Herat,Kohsan,AF,No,Afghanistan,{17698898B88962028797570},AFG,AF
GEO_17698898B82675281335003,Asia,Afghanistan,Herat,Koshk,AF,No,Afghanistan,{17698898B82675281335003},AFG,AF
GEO_17698898B84066352785355,Asia,Afghanistan,Herat,Koshki Kohna,AF,No,Afghanistan,{17698898B84066352785355},AFG,AF
GEO_17698898B82424005626981,Asia,Afghanistan,Herat,Obe,AF,No,Afghanistan,{17698898B82424005626981},AFG,AF
GEO_17698898B48568225140824,Asia,Afghanistan,Herat,Pashtun Zarghun,AF,No,Afghanistan,{17698898B48568225140824},AFG,AF
GEO_17698898B23157226416647,Asia,Afghanistan,Herat,Shindand,AF,No,Afghanistan,{17698898B23157226416647},AFG,AF
